Algorithm,Function,Shift,OfflineMean,OfflineStd,OfflineMedian,TrackingMean,TrackingStd,TrackingMedian
MPSO,sphere,linear,15.76448800618083,3.9162927935222736,15.395683541428946,0.9858457861422186,0.12474884277458036,0.967852343904943
MPSO,sphere,teleport,345.7620486491966,89.81083365058511,316.1653337586762,8.339916910304204,1.818369438001685,7.6436014089434146
MPSO,sphere,periodic,2.574296944403275,0.7367640503026585,2.428706958942806,1.470117808974593,0.09948112250617144,1.4590166102388245
MPSO,rastrigin,linear,13.051010891361344,3.967964405840864,13.333833565706522,3.183843537099145,0.6198583485912216,3.1994812044681575
MPSO,rastrigin,teleport,40.136359452758654,7.006690698482963,39.587460542102704,5.062616840984519,0.549203134246925,5.226295439786808
MPSO,rastrigin,periodic,23.698380883041487,9.096012199478567,22.00204701969929,3.1277812754943204,0.6865428702604531,3.1392906774838862
MPSO,rosenbrock,linear,211.42525049163777,435.5054871598581,108.9783389769133,3.218633895602782,1.3329714972730824,2.8618277569835753
MPSO,rosenbrock,teleport,10501.375682874901,6932.94909505989,9638.56986574445,4.715973021363405,0.967705545645454,4.497633840251852
MPSO,rosenbrock,periodic,48.09677410588829,56.45805862808727,35.58799370589426,3.115187737651806,0.4082346058093052,3.1073451129337597
MPSO,griewank,linear,1.3827589029819631,0.14607335233033705,1.323682516732231,25.68478849271788,1.6083235822790132,25.89275530378737
MPSO,griewank,teleport,10.374857016533005,2.7045005746696487,10.969975693509996,96.94133860053464,22.310600713724515,100.3425963787534
MPSO,griewank,periodic,1.0858988322227106,0.029252982354528417,1.0766677777421543,25.12760566965464,0.7952340856468229,24.895648130282645
GWO,sphere,linear,172.69714177801907,11.040276707099999,176.74691254294495,10.0742593923372,0.3829197754930622,10.076232076766868
GWO,sphere,teleport,1467.4289130980221,98.61784045041188,1464.2170540256934,36.5398967211807,1.6057146910551785,36.700144698709565
GWO,sphere,periodic,361.27969479446176,11.487293817416292,362.08651731204105,16.697466386651175,0.353944370740927,16.798890696873237
GWO,rastrigin,linear,56.331514556963825,5.264052685763749,54.34876728776507,2.5057799485317367,0.15108472709136822,2.5399007992795726
GWO,rastrigin,teleport,68.02551651262237,6.4944203541877386,68.17332218754589,5.884662971286479,0.16153111779238627,5.878824790318787
GWO,rastrigin,periodic,70.60598830663578,1.6544599520793177,70.74008324881709,2.1560004402702893,0.06753668140916182,2.155578856737976
GWO,rosenbrock,linear,1053.6409827823343,282.89643725315267,1100.6368446521071,2.9527387277729864,0.24870226603432324,2.974335810386293
GWO,rosenbrock,teleport,263169.28522635286,67046.60111234107,250570.4632340364,14.087826717194565,15.283434744281719,9.407296854508683
GWO,rosenbrock,periodic,1931.7999514012179,134.11866545825478,1926.0966719262258,3.325203622043091,0.05118078462730888,3.3214208902203444
GWO,griewank,linear,6.986806354240995,0.5461460758473032,7.05722704888044,120.16018942993892,5.651405629241005,120.08565302553231
GWO,griewank,teleport,57.11564230535409,5.025081423045079,55.16240686400958,453.88774493053916,21.133447522321106,446.03225299557766
GWO,griewank,periodic,14.130087047806459,0.3971537452898565,14.225271438304503,201.7093158552621,3.6651945141693134,202.73656024545062
DGWO,sphere,linear,6.822176901199448,2.2316231071558277,6.774921425868234,0.6011147707205019,0.06224198018487106,0.5926965970078482
DGWO,sphere,teleport,274.86384606978976,42.916146221108036,265.08173154128394,5.317954582305258,0.5964653828268865,5.326036521830304
DGWO,sphere,periodic,15.684364620293959,1.9007055810588622,15.13030338083825,3.035539686896427,0.10520156652463157,3.057164670859603
DGWO,rastrigin,linear,5.591263761375415,0.654399154912309,5.541685816917828,1.5065261136710713,0.21094466244478832,1.5767126136967669
DGWO,rastrigin,teleport,26.33322943918655,1.2408318732142554,26.16701857397734,3.902509100648653,0.20670506469738972,3.843234236654207
DGWO,rastrigin,periodic,36.03541153761664,1.2923672600506526,36.016378257255255,2.6532994796990583,0.1136114175470974,2.6810039265221195
DGWO,rosenbrock,linear,219.35828136151704,152.80977120262622,185.1939484908289,1.6242361680630242,0.26601392807410257,1.6159657999601262
DGWO,rosenbrock,teleport,17440.33666955981,11951.862464752792,12105.984406962669,3.6825792752334485,0.8063414687072142,3.438028501483077
DGWO,rosenbrock,periodic,104.40211215682548,54.08738968522038,83.60841201766137,2.3446942412524616,0.16918069206624478,2.310414685494403
DGWO,griewank,linear,0.8905992305526009,0.07149758134403567,0.8722858740354027,22.94722879017749,0.7834133241710376,22.872248940407587
DGWO,griewank,teleport,9.803147950326716,2.796357686245256,9.278069993886255,70.89603401442716,9.04120680422152,69.34293255331255
DGWO,griewank,periodic,1.5898635639852263,0.07377172409928069,1.5787771887938717,39.04526624552708,1.3736631877975112,39.19614405789143
